top - 15:55:59 up  3:04,  3 users,  load average: 0.02, 0.04, 0.05
Tasks: 257 total,   2 running, 255 sleeping,   0 stopped,   0 zombie
%Cpu(s):  2.8 us,  5.6 sy,  0.0 ni, 91.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  1867052 total,   416140 free,   706688 used,   744224 buff/cache
KiB Swap:  2097148 total,  2097148 free,        0 used.   943584 avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  9691 e3base    20   0  157764   2148   1504 R  12.5  0.1   0:00.09 top
  9608 root      20   0       0      0      0 S   6.2  0.0   0:00.40 kworker/0+
     1 root      20   0  125520   4068   2520 S   0.0  0.2   0:06.48 systemd
     2 root      20   0       0      0      0 S   0.0  0.0   0:00.03 kthreadd
     3 root      20   0       0      0      0 S   0.0  0.0   0:00.82 ksoftirqd+
     5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0+
     7 root      rt   0       0      0      0 S   0.0  0.0   0:00.84 migration+
     8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
     9 root      20   0       0      0      0 R   0.0  0.0   0:06.95 rcu_sched
    10 root      rt   0       0      0      0 S   0.0  0.0   0:00.45 watchdog/0
    11 root      rt   0       0      0      0 S   0.0  0.0   0:00.66 watchdog/1
    12 root      rt   0       0      0      0 S   0.0  0.0   0:00.66 migration+
    13 root      20   0       0      0      0 S   0.0  0.0   0:00.90 ksoftirqd+
    15 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    17 root      20   0       0      0      0 S   0.0  0.0   0:00.01 kdevtmpfs
    18 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
    19 root      20   0       0      0      0 S   0.0  0.0   0:00.01 khungtaskd
    20 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
    21 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrit+
    22 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
    23 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
    24 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
    31 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
    32 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
    33 root      39  19       0      0      0 S   0.0  0.0   0:03.98 khugepaged
    34 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
    42 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
    44 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kmpath_rd+
    45 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
    47 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ipv6_addr+
    66 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 deferwq
    99 root      20   0       0      0      0 S   0.0  0.0   0:00.09 kauditd
   282 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
   283 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 mpt_poll_0
   284 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 mpt/0
   287 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
   288 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_0
   291 root      20   0       0      0      0 S   0.0  0.0   0:00.01 scsi_eh_1
   292 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_1
   295 root      20   0       0      0      0 S   0.0  0.0   0:00.01 scsi_eh_2
   297 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_2
   300 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ttm_swap
   332 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_3
   333 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_3
   334 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_4
   335 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_4
   336 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_5
   337 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_5
   338 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_6
   339 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_6
